id_cliente,nome_cliente,cpf,cidade,estado,canal_preferencial,data_cadastro
1,Carla Fernandes Gomes,949.743.733-56,Recife,PE,Loja Física,2023-05-23
2,Juliana Pereira Gomes,181.975.338-22,São Paulo,SP,Indicação,2024-07-23
3,Rodrigo Ribeiro Ferreira,479.463.314-95,Brasília,DF,Redes Sociais,2023-05-27
4,Rodrigo Ferreira Fernandes,846.350.267-69,Campinas,SP,Indicação,2024-07-06
5,Henrique Dias Costa,963.886.894-17,Goiânia,GO,Loja Física,2023-03-07
6,Natan Lima Oliveira,316.680.997-50,Salvador,BA,Loja Física,2025-10-19
7,Rodrigo Almeida Rodrigues,371.242.352-81,Recife,PE,Redes Sociais,2025-05-27
8,Natan Ribeiro Pereira,241.621.605-21,Campinas,SP,E-commerce,2023-08-13
9,Rodrigo Ferreira Dias,532.710.165-59,Belo Horizonte,MG,Indicação,2025-08-16
10,Isabela Fernandes Silva,796.838.217-97,Goiânia,GO,Redes Sociais,2024-11-27
11,João Carvalho Ferreira,564.103.839-43,Rio de Janeiro,RJ,Loja Física,2025-11-05
12,Rodrigo Gomes Rocha,619.723.303-29,Rio de Janeiro,RJ,Redes Sociais,2023-11-27
13,Thiago Silva Barbosa,431.600.119-24,Goiânia,GO,Redes Sociais,2024-09-21
14,Bruno Pereira Vieira,180.187.849-72,Curitiba,PR,E-commerce,2025-12-26
15,Eduarda Dias Lopes,662.269.371-77,Belo Horizonte,MG,Indicação,2024-03-09
16,Aline Nascimento Alves,830.419.508-95,Goiânia,GO,Redes Sociais,2025-06-16
17,Rafael Souza Pereira,330.165.446-12,Goiânia,GO,Loja Física,2024-03-27
18,Carla Nascimento Rocha,160.334.169-14,São Paulo,SP,Redes Sociais,2023-05-26
19,Henrique Lima Dias,597.319.652-26,Goiânia,GO,Indicação,2024-05-12
20,Patricia Alves Souza,199.774.541-55,Brasília,DF,Indicação,2025-04-21
21,Aline Santos Dias,769.761.200-17,Brasília,DF,Indicação,2024-11-25
22,Henrique Alves Alves,649.559.243-64,Rio de Janeiro,RJ,Loja Física,2024-07-24
23,Henrique Oliveira Almeida,927.982.976-80,Brasília,DF,E-commerce,2023-04-14
24,Ana Oliveira Pereira,270.516.597-71,Goiânia,GO,Loja Física,2025-04-01
25,Felipe Martins Silva,499.371.902-68,São Paulo,SP,Redes Sociais,2025-05-16
26,Juliana Nascimento Lopes,258.294.403-37,Goiânia,GO,E-commerce,2023-05-05
27,Bruno Santos Vieira,588.614.973-77,Salvador,BA,Loja Física,2023-04-27
28,Carla Ferreira Oliveira,709.169.791-40,Goiânia,GO,Indicação,2023-09-03
29,Henrique Vieira Barbosa,140.734.183-63,Campinas,SP,Redes Sociais,2024-06-18
30,Juliana Nascimento Costa,344.371.505-26,Curitiba,PR,Redes Sociais,2025-07-25
31,Carla Silva Almeida,736.676.202-19,Salvador,BA,Loja Física,2025-11-02
32,Eduarda Ribeiro Oliveira,350.478.391-30,Porto Alegre,RS,Indicação,2024-09-11
33,Rodrigo Soares Silva,783.936.667-48,Campinas,SP,E-commerce,2023-10-03
34,Diego Souza Andrade,666.259.378-46,Porto Alegre,RS,Loja Física,2024-12-03
35,Juliana Rocha Lima,617.600.357-16,Curitiba,PR,E-commerce,2025-05-17
36,Bruno Silva Costa,889.233.752-43,Porto Alegre,RS,Loja Física,2025-06-23
37,Mateus Carvalho Fernandes,109.214.177-98,Goiânia,GO,Loja Física,2023-03-15
38,Gabriel Fernandes Rodrigues,540.230.142-49,Salvador,BA,Redes Sociais,2023-03-23
39,Gabriela Dias Pereira,782.205.462-81,Salvador,BA,Indicação,2023-11-13
40,Felipe Ferreira Carvalho,125.283.854-52,Curitiba,PR,Indicação,2024-05-23
41,Felipe Nascimento Souza,491.993.139-70,Porto Alegre,RS,Loja Física,2024-02-13
42,Mariana Gomes Pereira,328.124.775-34,Brasília,DF,Indicação,2024-11-03
43,Carla Lima Ribeiro,756.621.509-96,Porto Alegre,RS,Redes Sociais,2023-02-26
44,Isabela Ferreira Vieira,371.139.211-86,Rio de Janeiro,RJ,Indicação,2024-12-08
45,Patricia Barbosa Soares,218.494.690-34,Salvador,BA,Redes Sociais,2023-04-01
46,Ana Soares Fernandes,803.836.859-95,Recife,PE,Loja Física,2025-01-15
47,Carla Dias Costa,738.421.779-25,Recife,PE,Redes Sociais,2025-11-04
48,Juliana Carvalho Costa,512.813.402-80,Porto Alegre,RS,Loja Física,2024-01-28
49,Juliana Martins Dias,866.278.730-82,Recife,PE,Redes Sociais,2025-04-11
50,Ana Gomes Gomes,315.540.904-84,Goiânia,GO,Redes Sociais,2025-08-10
51,Rafael Dias Alves,623.584.912-31,Brasília,DF,E-commerce,2024-08-04
52,Juliana Rocha Barbosa,443.195.938-40,Goiânia,GO,Redes Sociais,2024-04-05
53,Eduarda Silva Santos,350.586.725-19,Curitiba,PR,Indicação,2025-04-28
54,Gabriela Nascimento Nascimento,493.606.509-41,Campinas,SP,Loja Física,2023-01-12
55,Patricia Pereira Ferreira,923.812.630-69,Rio de Janeiro,RJ,E-commerce,2024-05-25
56,Rafael Rodrigues Almeida,783.643.672-86,Rio de Janeiro,RJ,Redes Sociais,2025-06-25
57,Aline Soares Carvalho,950.661.556-30,Campinas,SP,Indicação,2025-07-10
58,Henrique Rocha Lima,884.896.633-72,Porto Alegre,RS,Loja Física,2024-07-16
59,Carla Nascimento Gomes,340.378.443-50,Brasília,DF,E-commerce,2023-10-11
60,Henrique Martins Nascimento,256.823.319-18,Belo Horizonte,MG,Indicação,2025-04-14
61,Vanessa Almeida Carvalho,163.311.952-63,Salvador,BA,Indicação,2023-02-10
62,Natan Lopes Silva,460.405.871-59,Campinas,SP,Indicação,2024-03-27
63,Henrique Lima Carvalho,597.129.498-53,Brasília,DF,Indicação,2023-12-05
64,Eduarda Barbosa Fernandes,127.503.706-82,Brasília,DF,E-commerce,2023-06-21
65,Eduarda Almeida Ferreira,151.366.488-51,Recife,PE,Loja Física,2025-07-20
66,Lucas Martins Lima,870.951.531-42,Salvador,BA,E-commerce,2025-08-21
67,Aline Fernandes Santos,458.329.765-18,São Paulo,SP,E-commerce,2023-03-05
