id_vendedor,nome_vendedor,id_loja,meta_mensal
1,Rodrigo Souza Silva,2,43538.76
2,Henrique Pereira Rodrigues,2,43411.78
3,Juliana Andrade Fernandes,2,27173.47
4,Patricia Santos Silva,3,27342.38
5,Henrique Soares Barbosa,3,25663.4
6,Gabriela Nascimento Rocha,3,42533.12
7,Patricia Pereira Almeida,4,39731.64
8,Ana Ferreira Nascimento,4,35565.36
9,Isabela Rodrigues Alves,4,48930.33
10,Lucas Souza Oliveira,5,34498.18
11,Mariana Ribeiro Barbosa,5,31613.02
12,Bruno Andrade Almeida,5,38405.7
13,Venda Automatizada Web,1,150000.0
